time,Computers,Copper,Glass,Oil,Plastic,Rubber,Rupyulars,Steel,Vehicles,Weapons
1587542348,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542409,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542469,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542529,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542589,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542649,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542709,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542770,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542830,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542890,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587542950,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543010,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543070,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543131,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543191,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543251,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543311,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543371,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543431,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543492,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543552,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543612,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543672,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543732,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543792,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543853,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543913,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587543973,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544033,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544093,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544154,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544214,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544274,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544334,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544394,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
